項次,相關的Solution,關鍵字,機關名稱,標案案號,標案名稱,傳輸次數,招標方式,採購性質,公告日期,截止投標,預算金額,詳細連結,機關代碼,單位名稱,機關地址,聯絡人,聯絡電話,電子郵件信箱,標的分類,採購金額級距,辦理方式,決標方式,招標狀態,開標時間,開標地點,是否訂有底價,履約地點
44,ESG－微電網及儲能,電網,彰化縣大村鄉公所,115-5547,Danas-F-02-04-04 彰化縣大村鄉加錫村及貢旗村聯合集會所活動中心、大村鄉公所小型防災微電網建置計畫,1,公開招標,財物類,115/05/08,115/05/22 09:20,"31,040,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTAxMzA=,3.76.47.65,彰化縣大村鄉公所,515 彰化縣 大村鄉 中正西路338號,建設課林筱蓓或行政課陳晢信,(04) 8520149 #125,shiaopei58@dacun.chcg.gov.tw,財物類 469 - 其他電力設備及零件,公告金額以上未達查核金額,代辦,最有利標,第一次公開招標,115/05/22 10:00,本所2樓禮堂,否,彰化縣(非原住民地區)
45,ESG－微電網及儲能,太陽,中華郵政股份有限公司,115-3-87,印製「太陽系行星郵票小全張」,1,選擇性招標(建立合格廠商名單後續邀標),勞務類,115/05/08,115/05/18 17:00,"6,500,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwMzA=,3.15.83,勞工安全衛生處,106 臺北市 大安區 金山南路2段55號,陳盈君,(02) 23214311 #2308,chenyinchun@mail.post.gov.tw,勞務類 884 - 附帶於製造業之服務(製造金屬產品、機械及設備除外),公告金額以上未達查核金額,自辦,最低標,第一次後續邀標,115/05/19 14:00,106409臺北市大安區金山南路2段55號3樓307室(開標室),是,新北市(非原住民地區)
46,ESG－微電網及儲能,再生能源,台灣電力股份有限公司綜合研究所,5461500043,再生能源售電業購售業務精進策略1案,1,經公開評選或公開徵求之限制性招標,勞務類,115/05/08,115/05/21 17:00,"6,615,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDkzMTU=,3.13.32.45,台灣電力股份有限公司綜合研究所,100 臺北市 中正區 羅斯福路4段198號,鄭文彥(規範問題請洽謝小姐02-23601256),(02) 23601363,u158360@taipower.com.tw,勞務類 85 - 研發服務,公告金額以上未達查核金額,自辦,準用最有利標,第一次限制性招標,115/05/22 13:30,100臺北市中正區羅斯福路4段198號,是,臺北市(非原住民地區)
47,IoT相關,通訊,新北大眾捷運股份有限公司,08A1504B001,環狀線骨幹通訊網路交換器採購,2,公開取得報價單或企劃書,財物類,115/05/08,115/05/14 17:00,"1,495,200元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUwNjM=,3.82.37,新北大眾捷運股份有限公司,231 新北市 新店區 民權路280號,新北大眾捷運股份有限公司,(02) 22199333 #86368,1112M0421@ntmetro.com.tw,財物類 452 - 計算機及其零件與配件,未達公告金額,自辦,最低標,第二次及以後公開取得,115/05/15 16:00,231新北市新店區民權路280號(F437開標室),是,新北市(非原住民地區)
48,IoT相關,通訊,臺東縣政府,115201520117,新港國中--新建大樓通訊設備採購,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,"273,500元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ4MTA=,3.76.54,臺東縣政府,950 臺東縣 臺東市 中山路276號,新港國中，承辦人：劉美珍小姐,(089) 851034 #156,koing228@gmail.com,"財物類 47 - 收音機、電視, 通訊器材及儀器",未達公告金額,代辦,參考最有利標精神,第一次公開取得,115/05/14 09:35,本府發包中心開標室,否,臺東縣成功鎮(原住民地區)
49,IoT相關,通訊,臺北大眾捷運股份有限公司,C15A03077,REMOTE I/O通訊模組採購,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3NzI=,3.79.62,供應處,104 臺北市 中山區 中山北路2段48巷7號2樓,系統處供電廠 沙泓宇,(02) 29363730 #3636,e01285@metro.taipei,財物類 462 - 電力傳輸、控制設備及其零件,未達公告金額,自辦,最低標,第一次公開取得,115/05/14 16:00,本機關4樓開標室,是,臺北市(非原住民地區)
50,IoT相關,AI,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,MMH2026-12001,雙「醫」AI智能社區健康管理平台系統 建置計畫案,2,公開招標,財物類,115/05/08,115/05/13 17:00,"1,800,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUxMDU=,37401816,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,104 臺北市 中山區 民權路47號,陳儀芳,(02) 25433535 #3668,yifang.a102@mmh.org.tw,"財物類 481 - 醫療, 外科及矯形設備",公告金額以上未達查核金額,補助,最低標,第二次及以後公開招標,115/05/14 13:00,台北市中山區民生西路3巷9號11樓 (嘉新大樓後棟11樓會議室),是,新北市(非原住民地區)
51,IoT相關,AI,南臺學校財團法人南臺科技大學,11513000207,AI計算伺服器系統,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/19 10:00,"520,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3ODM=,3.10.90.19,機械系吳忠春分機3501,710 臺南市 永康區 南台街一號,總務處張資顯,(06) 2533131 #2301,jim820602@stust.edu.tw,財物類 452 - 計算機及其零件與配件,未達公告金額,補助,最低標,第一次公開取得,115/05/20 10:00,綜合大樓L003或異動指定地點,是,臺南市(非原住民地區)
52,IoT相關,AI,國立成功大學醫學院附設醫院,115AC018,敏求學院AI機器資訊機房空調擴建案,3,公開招標,財物類,115/05/08,115/05/13 09:00,"6,681,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3NjU=,3.9.26.3,工務室,704 臺南市 北區 勝利路138號工務室,李有昇,(06) 2353535 #4977,n998673@mail.hosp.ncku.edu.tw,財物類 4391 - 氣體產生器; 蒸餾設備; 冷凍及空調設備; 過濾機具,公告金額以上未達查核金額,自辦,最低標,第二次及以後公開招標,115/05/13 10:00,704臺南市北區勝利路138號B1F工務室會議室,是,臺南市(非原住民地區)
53,IoT相關,AI,國立成功大學,115-05-041,NVIDIA DGX Spark (4TB SSD)桌上型AI伺服器壹台,1,公開取得電子報價單,財物類,115/05/08,115/05/19 10:00,"164,850元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3MzM=,3.9.26,總務處,701 臺南市 東區 大學路1號,張哲文,(06) 2757575 #50572,z10401043@ncku.edu.tw,財物類 452 - 計算機及其零件與配件,未達公告金額,自辦,最低標,第一次公開取得,115/05/19 14:00,網路開標,是,臺南市(非原住民地區)
54,IoT相關,AI,臺中市立雙十國民中學,ssjh11504160002978600,115年臺中市立雙十國民中學校園安防安全整合及AI智能防護設備採購案,2,公開招標,財物類,115/05/08,115/05/14 17:00,"2,978,600元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwNjM=,3.87.5.52,臺中市立雙十國民中學,404 臺中市 北區 力行路258號,黃詩涵,(04) 22334445 #731,g04-02@cc.ssjh.tc.edu.tw,"財物類 483 - 光學儀器, 攝影設備及其零件與附件",公告金額以上未達查核金額,自辦,最低標,第二次及以後公開招標,115/05/15 09:30,本校行政樓2樓校史室(臺中市北區力行路258號),是,臺中市(非原住民地區)
55,IoT相關,AI,明新學校財團法人明新科技大學,2115041601,多媒體與遊戲發展系 元宇宙多人AI影像即時動捕與遊戲互動模擬教學展示系統採購案,1,公開招標,勞務類,115/05/08,115/05/20 17:00,"1,558,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTM4NjQ=,3.10.90.32,明新學校財團法人明新科技大學,304 新竹縣 新豐鄉 新興路1號,羅淑慧,(03) 5593142 #2416,lisa_lo@must.edu.tw,勞務類 842 - 軟體執行服務,公告金額以上未達查核金額,補助,最低標,第一次公開招標,115/05/21 15:30,304新竹縣新豐鄉新興路1號,是,新竹縣(非原住民地區)
56,IoT相關,AI,國立東華大學,No115-0004,AI伺服器軟硬體設備擴充,2,公開招標,財物類,115/05/08,115/05/12 17:00,"1,990,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTI5OTE=,3.9.38,總務處,974 花蓮縣 壽豐鄉 志學村大學路2段1號,黃俊傑,(03) 8906314,jack@gms.ndhu.edu.tw,財物類 452 - 計算機及其零件與配件,公告金額以上未達查核金額,自辦,最低標,第二次及以後公開招標,115/05/13 11:00,花蓮縣壽豐鄉志學村大學路2段1號(行政大樓103招標室),是,花蓮縣(原住民地區)
57,IoT相關,AI,高雄市立高雄高級工業職業學校,1153012,「AI手臂載具」及「加工處理平台」採購案,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,"340,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTI5MDI=,3.97.5.31,高雄市立高雄高級工業職業學校,807 高雄市 三民區 建工路419號,薛志賢,(07) 3815366 #2282,ksvs2282@ksvs.kh.edu.tw,"財物類 442 - 工具機, 其零件及附件",未達公告金額,自辦,最低標,第一次公開取得,115/05/14 10:30,807高雄市三民區建工路419號(本校第三會議室),是,高雄市(非原住民地區)
58,IoT相關,AI,明新學校財團法人明新科技大學,2115043001,資工系AI運算與儲存整合建置案,1,公開招標,財物類,115/05/08,115/05/19 17:00,"2,496,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTE4MjU=,3.10.90.32,明新學校財團法人明新科技大學,304 新竹縣 新豐鄉 新興路1號,曾瑜方,(03) 5593142 #2415,yft@must.edu.tw,財物類 452 - 計算機及其零件與配件,公告金額以上未達查核金額,補助,最低標,第一次公開招標,115/05/20 14:00,304新竹縣新豐鄉新興路1號,是,新竹縣(非原住民地區)
59,IoT相關,AI,國立成功大學,115-03-021,高階AI運算設備建置壹式,1,公開招標,財物類,115/05/08,115/05/19 10:00,"44,300,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExOTY0Nzg=,3.9.26,總務處,701 臺南市 東區 大學路1號,張哲文,(06) 2757575 #50571,z10401043@ncku.edu.tw,財物類 452 - 計算機及其零件與配件,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/19 14:00,701臺南市東區大學路1號光復校區雲平大樓西棟地下一樓開標室,是,臺南市(非原住民地區)
60,IoT相關,人工智慧,高雄市立高雄女子高級中學,11509,高雄女中115年人工智慧運算工作站採購,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,"460,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTM2NjA=,3.97.4.94,高雄市立高雄女子高級中學,801 高雄市 前金區 五福三路122號,鍾晟夫,(07) 2115410 #407,pafu23@kcg.gov.tw,財物類 452 - 計算機及其零件與配件,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/14 09:00,高雄女中(高雄市前金區五福三路122號)綜合大樓2樓中型會議室,是,高雄市(非原住民地區)
61,IoT相關,監控,新北大眾捷運股份有限公司,NTMC1140923,環狀線車站及機廠監控設備維護保養工作,3,公開招標,勞務類,115/05/08,115/05/18 17:00,"5,372,824元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUxMjk=,3.82.37,新北大眾捷運股份有限公司,231 新北市 新店區 民權路280號,呂先生,(02) 22199333 #86384,AV8300@ntpc.gov.tw,勞務類 886 - 附帶於金屬產品、機械及設備維修之服務,公告金額以上未達查核金額,自辦,最低標,招標期限標準第八條第一項情形重行或續行第一次或以後各次招標,115/05/19 14:00,231新北市新店區民權路280號4樓4A會議室,是,新北市(非原住民地區)
62,IoT相關,監控,台灣電力股份有限公司桂山發電廠,2361500008,桂山電廠蓄電池組及電池監控系統汰換,2,公開招標,財物類,115/05/08,115/05/18 09:30,"3,675,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ2OTY=,3.13.31.62,台灣電力股份有限公司桂山發電廠,231 新北市 新店區 桂山路37號,黃馨慧,(02) 26667223 #744,u284113@taipower.com.tw,財物類 464 - 蓄電池、一次性電池及其零件,公告金額以上未達查核金額,自辦,最低標,第二次及以後公開招標,115/05/18 10:00,231新北市新店區桂山路37號,是,新北市(非原住民地區)
63,IoT相關,監控,經濟部產業園區管理局臺北分局,115115009,115年桃園幼獅產業園區數位監控系統雲端儲存租賃服務,1,經公開評選或公開徵求之限制性招標,勞務類,115/05/08,115/05/21 17:00,"5,473,272元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ2NTc=,A.13.8.1,經濟部桃園幼獅產業園區服務中心,326 桃園市 楊梅區 獅二路2號,邱淑芬,(03) 4641074 #6735,sfchiou@bip.gov.tw,勞務類 754 - 電信相關服務,公告金額以上未達查核金額,自辦,準用最有利標,第一次限制性招標,115/05/22 10:00,326桃園市楊梅區獅二路2號2樓第2會議室,是,桃園市(非原住民地區)
64,ESG－建研所補助,農業部水產試驗所,農業部水產試驗所,20260421,海水水塔新建工程,2,公開招標,工程類,115/05/08,115/05/19 09:00,"3,000,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ0ODc=,A.19.11,農業部水產試驗所東部漁業生物研究中心,961 臺東縣 成功鎮 五權路22號,吳瑞賢,(089) 850090 #404,jhwu@mail.tfrin.gov.tw,工程類 5154 - 混凝土工程,公告金額以上未達查核金額,自辦,最低標,第二次及以後公開招標,115/05/19 10:00,961臺東縣成功鎮五權路22號,是,臺東縣成功鎮(原住民地區)
65,ESG－建研所補助,國軍退除役官兵輔導委員會,國軍退除役官兵輔導委員會臺南榮譽國民之家,vhtn11501,臺南榮譽國民之家115-116年警衛人員勞務委外採購案,1,公開招標,勞務類,115/05/08,115/05/19 17:00,"5,781,600元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUxNzE=,3.31.91,秘書室,701 臺南市 東區 裕永路555號,林麗郁,(06) 2690418 #11107,vhtn0449@mail5.vac.gov.tw,勞務類 873 - 調查及保安服務,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/20 10:00,701臺南市東區裕永路555號平實養護園區大會議室,是,臺南市(非原住民地區)
66,ESG－建研所補助,國軍退除役官兵輔導委員會,國軍退除役官兵輔導委員會清境農場,115019,115清境農場3.5噸貨車採購案,1,公開取得報價單或企劃書,財物類,115/05/08,115/05/13 17:00,"1,000,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ4MTk=,3.31.13,觀光行政組,546 南投縣 仁愛鄉 大同村仁和路170號,王亮穎,(049) 2802222 #2242,cing.jing@msa.hinet.net,"財物類 491 - 機動車, 拖車, 半拖車; 車輛機件",未達公告金額,自辦,最低標,第一次公開取得,115/05/14 14:00,546南投縣仁愛鄉大同村仁和路170號（清境農場場部會議室）,是,南投縣仁愛鄉(原住民地區)
67,ESG－建研所補助,國軍退除役官兵輔導委員會,國軍退除役官兵輔導委員會臺東農場,115TF06,115年度臺東農場公務機車採購案,1,公開取得電子報價單,財物類,115/05/08,115/05/15 09:00,"255,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQwMTg=,3.31.8,觀光行政組,958 臺東縣 池上鄉 新興村104號,錢質健,(089) 862241 #32,eric650412@yahoo.com.tw,財物類 499 - 其他運輸設備及其零件,未達公告金額,自辦,最低標,第一次公開取得,115/05/15 09:30,網路開標,是,臺東縣池上鄉(原住民地區)
68,ESG－建研所補助,國軍退除役官兵輔導委員會,國軍退除役官兵輔導委員會退除役官兵職業訓練中心,1150427,115年學員宿舍信義樓衛浴修繕工程採購案,1,公開招標,工程類,115/05/08,115/05/21 17:00,"5,173,382元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDk2NDI=,A.51.100.61,秘書室,330 桃園市 桃園區 成功路三段78號,顏俊賢,(03) 3321224 #605,ppippen1@mail.vtc.gov.tw,工程類 5177 - 室內裝潢工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/22 10:00,330桃園市桃園區成功路三段78號(第一校區明覺樓會議室),是,桃園市(非原住民地區)
